"maker_key","model_key","mileage","engine_power","registration_date","fuel","paint_color","car_type","feature_1","feature_2","feature_3","feature_4","feature_5","feature_6","feature_7","feature_8","price","sold_at"
"BMW","118",140411,100,"2012-02-01","diesel","black","convertible",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,11300,"2018-01-01"
"BMW","M4",13929,317,"2016-04-01","petrol","grey","convertible",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,69700,"2018-02-01"
"BMW","320",183297,120,"2012-04-01","diesel","white","convertible",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,10200,"2018-02-01"
"BMW","420",128035,135,"2014-07-01","diesel","red","convertible",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,25100,"2018-02-01"
"BMW","425",97097,160,"2014-12-01","diesel","silver","convertible",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,33400,"2018-04-01"
"BMW","335",152352,225,"2011-05-01","petrol","black","convertible",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,17100,"2018-02-01"
"BMW","325",205219,145,"2009-05-01","diesel","grey","convertible",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,12400,"2018-02-01"
"BMW","118",115560,105,"2009-08-01","petrol","white","convertible",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6100,"2018-02-01"
"BMW","Z4",123886,125,"2004-07-01","petrol","black","convertible",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6200,"2018-03-01"
"BMW","320",139541,135,"2013-06-01","diesel","white","convertible",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,17300,"2018-03-01"
"BMW","320",77115,135,"2012-09-01","diesel","blue","convertible",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,19300,"2018-03-01"
"BMW","325",228000,145,"2009-09-01","diesel","black","convertible",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,13300,"2018-03-01"
"BMW","420",132025,135,"2014-03-01","diesel","blue","convertible",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,21700,"2018-03-01"
